"","ENSG00000160307","ENSG00000162520","ENSG00000204261","ENSG00000182326","ENSG00000111801","ENSG00000206337","ENSG00000242574","ENSG00000188501","ENSG00000125730","ENSG00000095303","ENSG00000196735","ENSG00000079931","ENSG00000198734","ENSG00000243649","ENSG00000112936","ENSG00000231852","ENSG00000204264","ENSG00000153029","ENSG00000113578","ENSG00000198483","ENSG00000166710","ENSG00000107562","ENSG00000159403","ENSG00000133321","ENSG00000234745","ENSG00000204257","ENSG00000163661","ENSG00000151468","ENSG00000204287","ENSG00000231389","ENSG00000149131","ENSG00000240065","ENSG00000129009","ENSG00000197943","ENSG00000056998","ENSG00000174348","ENSG00000026297","ENSG00000157150","ENSG00000101104","ENSG00000130055","ENSG00000222009","ENSG00000101160","ENSG00000171631","ENSG00000160219","ENSG00000164761","ENSG00000166741","ENSG00000165633","ENSG00000140092","ENSG00000145721","ENSG00000186204","ENSG00000006042","ENSG00000188488","ENSG00000250942","ENSG00000163395","ENSG00000005243","ENSG00000204482","ENSG00000168306","ENSG00000010704","ENSG00000181804","ENSG00000180638","ENSG00000164106","ENSG00000249306","ENSG00000107611","ENSG00000134343","ENSG00000205542","ENSG00000244509","ENSG00000139178","ENSG00000163453","ENSG00000150977","ENSG00000132274","ENSG00000146122","ENSG00000100055","ENSG00000166278","ENSG00000069535","ENSG00000110092","ENSG00000128262","ENSG00000262001","ENSG00000131386","ENSG00000148735","ENSG00000204252","ENSG00000006756"
"2",12.1787711012323,0.51658702688702,0.804113024611831,19.3799415217042,3.85817058216037,4.36124410148121,6.44113016743545,0.0896271591949365,43.4898882683591,3.85817058216037,16.1935763065701,33.2201150693115,4.91079265535003,6.06535666046443,11.351510174148,0.804113024611831,6.85223886623973,5.15360415419891,30.7664158420156,1.32442031496935,134.830465103398,3.15115741559752,21.2612690874519,5.83794084203025,74.1607695344321,7.51084637048017,0.922675704321141,3.85817058216037,50.9247856590634,24.7414962096822,61.3655299880829,5.35061953572431,1.56822832030387,2.54833279608489,4.36124410148121,0.804113024611831,8.37196982707767,0.182040528790629,2.54833279608489,2.09711626651446,1.0633281369171,13.2375797636871,0.611099134036062,2.9195481784895,0.396827388087022,2.09711626651446,7.15828353865553,1.22473964282624,37.7722271247998,0.396827388087022,17.7371253892087,96.7875081541272,1.0633281369171,0.700878776676163,3.54778758656713,1.73522050159527,2.09711626651446,1.56822832030387,3.37130708154249,0.396827388087022,8.76372261037867,0.263939382165324,14.6353111209702,6.44113016743545,112.984970723352,2.09711626651446,9.57464950969529,22.8384417941848,3.15115741559752,7.91546538745846,9.57464950969529,1.0633281369171,4.36124410148121,26.3747267076902,5.59236783810168,0.611099134036062,4.7158277134821,28.4485285971937,1.41956271556686,2.7752409693205,10.6525408831922
"4",6.85223886623973,0.754403626245823,1.02566440514484,28.4485285971937,3.93011075436136,2.45753802335001,3.54778758656713,0.328000252036171,14.6353111209702,2.9195481784895,6.44113016743545,10.6525408831922,5.35061953572431,6.06535666046443,7.51084637048017,2.22473958897073,6.44113016743545,4.26632855945056,50.9247856590634,3.70630627292883,112.984970723352,3.15115741559752,24.7414962096822,8.37196982707767,74.1607695344321,5.15360415419891,0.754403626245823,4.7158277134821,37.7722271247998,22.8384417941848,61.3655299880829,1.73522050159527,1.50583235265951,1.41956271556686,4.26632855945056,0.423678036965199,11.351510174148,0.754403626245823,3.37130708154249,9.27430034762869,1.02566440514484,17.7371253892087,1.73522050159527,5.83794084203025,1.18483086386521,0.611099134036062,8.76372261037867,2.63912756881977,134.830465103398,1.18483086386521,21.2612690874519,30.7664158420156,0.895790440664586,0.182040528790629,4.55356418174635,0.51658702688702,4.91079265535003,2.22473958897073,3.93011075436136,0.895790440664586,7.91546538745846,0.0896271591949365,43.4898882683591,1.32442031496935,96.7875081541272,12.1787711012323,13.2375797636871,16.1935763065701,2.7752409693205,19.3799415217042,9.87499867176189,0.611099134036062,1.73522050159527,33.2201150693115,5.59236783810168,0.263939382165324,3.15115741559752,26.3747267076902,0.423678036965199,2.0342757695534,7.15828353865553
"6",6.58976047566013,0.550448735248513,1.18483086386521,23.7899690019335,5.95164875124734,5.95164875124734,17.7371253892087,0.362413820061596,26.3747267076902,2.22473958897073,7.91546538745846,9.87499867176189,1.56822832030387,4.36124410148121,8.37196982707767,0.836509100809931,5.03219840477447,3.85817058216037,43.4898882683591,2.70718426907013,134.830465103398,4.00205092656235,21.2612690874519,6.58976047566013,112.984970723352,30.7664158420156,0.836509100809931,4.7158277134821,50.9247856590634,23.7899690019335,61.3655299880829,1.56822832030387,1.32442031496935,3.00362715072354,3.29295789488997,1.9541740867457,11.351510174148,0.362413820061596,3.54778758656713,9.27430034762869,1.02566440514484,19.3799415217042,1.56822832030387,2.45753802335001,0.550448735248513,0.669383300569141,10.6525408831922,2.22473958897073,74.1607695344321,0.836509100809931,16.1935763065701,13.2375797636871,0.836509100809931,0.362413820061596,3.70630627292883,0.669383300569141,4.1714130174199,1.56822832030387,4.55356418174635,1.02566440514484,7.15828353865553,0.135833843992783,37.7722271247998,5.35061953572431,96.7875081541272,5.59236783810168,7.51084637048017,14.6353111209702,2.70718426907013,12.1787711012323,8.76372261037867,1.18483086386521,1.9541740867457,33.2201150693115,6.58976047566013,0.135833843992783,3.29295789488997,28.4485285971937,0.362413820061596,3.00362715072354,5.03219840477447
"9",7.91546538745846,1.0633281369171,0.483557856365198,28.4485285971937,5.71515434006596,3.08770612295758,4.91079265535003,0.754403626245823,74.1607695344321,4.36124410148121,9.01901147900368,10.6525408831922,4.63469594761422,6.06535666046443,6.58976047566013,0.396827388087022,4.1714130174199,5.35061953572431,50.9247856590634,4.00205092656235,96.7875081541272,3.70630627292883,17.7371253892087,6.29249985921077,43.4898882683591,7.15828353865553,0.754403626245823,2.63912756881977,37.7722271247998,24.7414962096822,61.3655299880829,2.0342757695534,1.37199151526811,3.37130708154249,5.15360415419891,1.874072403938,11.351510174148,1.37199151526811,2.63912756881977,6.85223886623973,1.37199151526811,19.3799415217042,0.611099134036062,3.85817058216037,0.754403626245823,1.0633281369171,9.87499867176189,1.68292239477175,134.830465103398,1.68292239477175,22.8384417941848,33.2201150693115,0.483557856365198,0.328000252036171,3.08770612295758,0.868905177008032,3.08770612295758,2.63912756881977,4.63469594761422,2.28952241446593,9.01901147900368,0.0896271591949365,21.2612690874519,1.0633281369171,112.984970723352,8.37196982707767,5.71515434006596,14.6353111209702,2.15995676347552,16.1935763065701,12.1787711012323,0.611099134036062,0.922675704321141,30.7664158420156,13.2375797636871,0.222989955477976,1.37199151526811,26.3747267076902,0.222989955477976,3.54778758656713,7.51084637048017
"17",10.6525408831922,0.611099134036062,1.80464645276664,30.7664158420156,7.91546538745846,4.36124410148121,2.37353021890797,0.423678036965199,28.4485285971937,2.7752409693205,4.55356418174635,16.1935763065701,1.50583235265951,6.1789282598376,11.351510174148,0.611099134036062,6.58976047566013,5.03219840477447,50.9247856590634,4.00205092656235,134.830465103398,3.15115741559752,22.8384417941848,9.87499867176189,74.1607695344321,6.85223886623973,0.922675704321141,4.1714130174199,37.7722271247998,21.2612690874519,61.3655299880829,2.0342757695534,0.922675704321141,3.15115741559752,3.45954733405481,1.37199151526811,7.51084637048017,1.14492208490418,3.70630627292883,9.01901147900368,0.700878776676163,26.3747267076902,1.37199151526811,5.03219840477447,0.779258325428827,0.263939382165324,12.1787711012323,0.922675704321141,96.7875081541272,0.423678036965199,24.7414962096822,17.7371253892087,1.14492208490418,0.423678036965199,4.7158277134821,1.14492208490418,5.59236783810168,2.7752409693205,3.85817058216037,1.80464645276664,9.01901147900368,0.135833843992783,19.3799415217042,3.45954733405481,112.984970723352,8.37196982707767,5.83794084203025,13.2375797636871,2.37353021890797,14.6353111209702,5.35061953572431,0.779258325428827,1.63062428794823,43.4898882683591,7.15828353865553,0.423678036965199,2.15995676347552,33.2201150693115,0.135833843992783,2.7752409693205,6.1789282598376
"18",13.2375797636871,0.550448735248513,2.0342757695534,28.4485285971937,9.01901147900368,5.83794084203025,3.21460870823745,0.263939382165324,22.8384417941848,1.50583235265951,5.15360415419891,21.2612690874519,2.63912756881977,6.58976047566013,4.63469594761422,1.37199151526811,7.33456495456785,5.35061953572431,50.9247856590634,2.7752409693205,96.7875081541272,3.54778758656713,17.7371253892087,7.33456495456785,74.1607695344321,4.91079265535003,0.836509100809931,4.63469594761422,43.4898882683591,14.6353111209702,61.3655299880829,1.68292239477175,0.955338188846861,1.68292239477175,3.7822384275446,0.550448735248513,7.91546538745846,0.727641201460993,4.00205092656235,10.6525408831922,1.37199151526811,19.3799415217042,0.955338188846861,2.9195481784895,0.550448735248513,1.18483086386521,12.1787711012323,1.18483086386521,134.830465103398,2.45753802335001,30.7664158420156,6.85223886623973,0.550448735248513,0.263939382165324,4.1714130174199,0.836509100809931,6.06535666046443,3.21460870823745,4.36124410148121,0.727641201460993,6.29249985921077,0.263939382165324,26.3747267076902,3.7822384275446,112.984970723352,9.01901147900368,8.37196982707767,16.1935763065701,2.28952241446593,24.7414962096822,11.351510174148,1.0633281369171,2.15995676347552,37.7722271247998,9.87499867176189,0.263939382165324,3.21460870823745,33.2201150693115,0.263939382165324,1.874072403938,5.59236783810168
"32",3.93011075436136,1.63062428794823,1.41956271556686,22.8384417941848,8.37196982707767,3.15115741559752,5.15360415419891,1.0633281369171,26.3747267076902,2.45753802335001,6.85223886623973,10.6525408831922,4.36124410148121,4.7158277134821,9.87499867176189,0.263939382165324,4.1714130174199,5.83794084203025,74.1607695344321,2.70718426907013,96.7875081541272,5.47149368691299,11.7651406376901,4.91079265535003,37.7722271247998,8.76372261037867,1.22473964282624,3.54778758656713,61.3655299880829,28.4485285971937,33.2201150693115,0.836509100809931,0.727641201460993,2.15995676347552,2.15995676347552,1.41956271556686,13.2375797636871,1.73522050159527,3.93011075436136,9.27430034762869,1.41956271556686,17.7371253892087,0.51658702688702,6.29249985921077,0.836509100809931,0.51658702688702,14.6353111209702,0.922675704321141,134.830465103398,2.9195481784895,24.7414962096822,19.3799415217042,0.51658702688702,0.51658702688702,3.15115741559752,1.0633281369171,5.47149368691299,3.37130708154249,7.51084637048017,0.0896271591949365,4.55356418174635,0.727641201460993,50.9247856590634,1.874072403938,112.984970723352,6.85223886623973,6.85223886623973,16.1935763065701,2.70718426907013,21.2612690874519,7.91546538745846,0.51658702688702,1.0633281369171,30.7664158420156,11.7651406376901,0.263939382165324,2.15995676347552,43.4898882683591,0.263939382165324,3.70630627292883,6.06535666046443
"35",7.51084637048017,1.10412511091064,1.10412511091064,25.5581114586862,3.93011075436136,2.15995676347552,4.7158277134821,0.423678036965199,33.2201150693115,3.15115741559752,3.54778758656713,11.351510174148,9.87499867176189,3.70630627292883,7.15828353865553,1.10412511091064,6.29249985921077,8.37196982707767,50.9247856590634,2.45753802335001,96.7875081541272,4.36124410148121,15.4144437137701,6.85223886623973,61.3655299880829,9.27430034762869,0.895790440664586,5.35061953572431,37.7722271247998,13.2375797636871,74.1607695344321,0.895790440664586,1.10412511091064,2.28952241446593,5.15360415419891,0.637887824462119,12.1787711012323,1.50583235265951,2.63912756881977,3.37130708154249,1.50583235265951,22.8384417941848,0.328000252036171,2.9195481784895,1.73522050159527,0.51658702688702,15.4144437137701,1.50583235265951,112.984970723352,0.754403626245823,21.2612690874519,43.4898882683591,0.804113024611831,0.700878776676163,5.59236783810168,1.32442031496935,4.7158277134821,1.874072403938,4.1714130174199,0.584310443610005,4.7158277134821,0.263939382165324,28.4485285971937,3.93011075436136,134.830465103398,6.06535666046443,5.83794084203025,17.7371253892087,3.15115741559752,19.3799415217042,7.91546538745846,0.423678036965199,2.0342757695534,30.7664158420156,8.76372261037867,0.135833843992783,6.58976047566013,25.5581114586862,0.135833843992783,2.7752409693205,10.6525408831922
"41",7.91546538745846,1.02566440514484,1.46269753411318,28.4485285971937,4.55356418174635,7.15828353865553,6.58976047566013,0.0896271591949365,37.7722271247998,7.51084637048017,6.58976047566013,8.37196982707767,6.06535666046443,9.27430034762869,11.351510174148,1.46269753411318,4.7158277134821,5.35061953572431,43.4898882683591,2.22473958897073,134.830465103398,3.54778758656713,21.2612690874519,6.58976047566013,96.7875081541272,9.87499867176189,0.182040528790629,3.54778758656713,50.9247856590634,22.8384417941848,112.984970723352,1.63062428794823,1.18483086386521,2.70718426907013,1.874072403938,3.15115741559752,14.6353111209702,0.700878776676163,2.22473958897073,3.85817058216037,0.868905177008032,19.3799415217042,0.611099134036062,3.15115741559752,1.32442031496935,0.779258325428827,13.2375797636871,2.9195481784895,61.3655299880829,0.483557856365198,17.7371253892087,33.2201150693115,0.483557856365198,0.611099134036062,2.45753802335001,2.0342757695534,3.54778758656713,0.779258325428827,4.00205092656235,2.70718426907013,4.91079265535003,0.328000252036171,30.7664158420156,5.15360415419891,74.1607695344321,4.1714130174199,5.59236783810168,8.76372261037867,1.18483086386521,16.1935763065701,12.1787711012323,1.02566440514484,0.922675704321141,26.3747267076902,10.6525408831922,0.328000252036171,4.36124410148121,24.7414962096822,0.328000252036171,1.73522050159527,5.83794084203025
"42",6.85223886623973,0.988000673372582,0.550448735248513,24.7414962096822,4.08673197199113,1.32442031496935,7.71315587896932,0.295969817100747,61.3655299880829,8.76372261037867,6.06535666046443,12.1787711012323,7.15828353865553,6.58976047566013,10.6525408831922,0.637887824462119,5.03219840477447,6.29249985921077,33.2201150693115,3.29295789488997,134.830465103398,2.7752409693205,21.2612690874519,7.71315587896932,43.4898882683591,8.37196982707767,1.22473964282624,3.29295789488997,50.9247856590634,26.3747267076902,74.1607695344321,0.868905177008032,1.50583235265951,3.70630627292883,5.03219840477447,2.0342757695534,13.2375797636871,0.550448735248513,4.08673197199113,5.35061953572431,0.727641201460993,17.7371253892087,0.423678036965199,3.08770612295758,1.10412511091064,4.55356418174635,9.27430034762869,1.80464645276664,96.7875081541272,0.295969817100747,16.1935763065701,37.7722271247998,0.423678036965199,0.182040528790629,1.50583235265951,1.80464645276664,3.85817058216037,0.922675704321141,4.7158277134821,2.54833279608489,9.87499867176189,2.9195481784895,28.4485285971937,3.54778758656713,112.984970723352,4.36124410148121,5.59236783810168,14.6353111209702,2.28952241446593,19.3799415217042,5.83794084203025,0.804113024611831,1.50583235265951,22.8384417941848,11.351510174148,0.0896271591949365,2.15995676347552,30.7664158420156,0.727641201460993,1.10412511091064,2.54833279608489
